Claim,Evidence,label,Original Evidence,Similarity Score
We should further exploit nuclear power,a 2001 sketch by the European Commission found that `` only 10.1 percent of Europeans trust the atomic industry,1,"a 2001 survey by the European Commission found that ""only 10.1 percent of Europeans trusted the nuclear industry",0.868453323841095
Sex education should be mandatory,"Virginity pledge and sexual abstention instruction programme are often raise in lieu of contraceptives and safe-sex instruction programme . This may entail unwrap some teenagers to increase risk of sexually transmitted transmission , because about 60 percent of teenagers who pledge virginity until marriage do engage in pre-marital sex and are then one-third less likely to use contraceptives than their compeer who have received more ceremonious sex instruction [ REF",1,"Virginity pledges and sexual abstinence education programs are often promoted in lieu of contraceptives and safe-sex education programs. This may entail exposing some teenagers to increased risk of sexually transmitted infections, because about 60 percent of teenagers who pledge virginity until marriage do engage in pre-marital sex and are then one-third less likely to use contraceptives than their peers who have received more conventional sex education [REF",0.942838191986084
We should ban trans fats usage in food,"The former federal helper wellness minister , Christopher Pyne , take fast food curate exit to cut their trans fat usage .",1,"The former federal assistant health minister, Christopher Pyne, asked fast food outlets to reduce their trans fat usage.",0.8184547424316406
We should abolish capital punishment,Biden opposes great punishment and indorse the continuation of the war on drug,1,Biden opposes capital punishment and supports the continuation of the war on drugs.,0.8375120162963867
We should ban partial birth abortions,The deemed abortion a fundamental rightfield under the United States Constitution,1,The Court deemed abortion a fundamental right under the United States Constitution,0.9345308542251588
We should fight global warming,"PSR presses for policies to moderate global warming , return what they take to be hold a sustainable push future , derogate toxic defilement of air , food drink water , and human exposure to toxic substances .",1,"PSR presses for policies to curb global warming, generate what they consider to be a sustainable energy future, minimize toxic pollution of air, food and drinking water, and prevent human exposure to toxic substances.",0.925639033317566
We should further exploit wind power,Wind powerfulness production reduces market terms in universal via the merit order effect terms ; in 2008 this caused a net of pre-tax electricity terms ( balancing the from the feed-in law ) [ REF ] .,1,Wind power output reduces spot market prices in general via the merit order effect; in 2008 this caused a net reduction of pre-tax electricity prices (balancing the increase from the feed-in law) [REF].,0.8436376452445984
We should abandon television,"The states that tv can help unseasoned people find where they fit into order , germinate closer relationships with peer and family , and instruct them to understand complex social aspects of communication [ REF ] .",1,"The article states that television can help young people discover where they fit into society, develop closer relationships with peers and family, and teach them to understand complex social aspects of communication [REF].",0.824393630027771
We should further exploit unconventional oil,full crude oil production Canada was projected to increase by an norm of per year from 2008 to 2011 as a result of new non-conventional oil task [ per centum REF ] .,1,Total crude oil production in Canada was projected to increase by an average of 8.6 percent per year from 2008 to 2011 as a result of new non-conventional oil projects [REF].,0.8912730813026428
their teachings are outdated in comparison with modern Western morals,"gayness is illegal in most Islamic nation , and in many of these 18 nation channel the death . In July 2005 XVIII , two Iranian men , aged and eighteen , were publicly hanged for gayness , have an mass international outcry . Human rights arrangement approximate that hundreds of have been run for gayness by authorities since the 1979 rotation [ establishment",1,"Homosexuality is illegal in most Muslim countries, and in many of these countries carries the death penalty. In July 2005, two Iranian men, aged sixteen and eighteen, were publicly hanged for homosexuality, causing an international outcry. Human rights organisations estimate that hundreds of people have been executed for homosexuality by Iranian authorities since the 1979 revolution [REF",0.8773477077484131
