Claim,Evidence,Original Evidence,label
We should further exploit nuclear power,"A 2001 European survey revealed that 'only 10.1% of Europeans trusted the nuclear industry","a 2001 survey by the European Commission found that 'only 10.1 percent of Europeans trusted the nuclear industry",1
Sex education should be mandatory,"Promises of virginity and sexual abstinence education programs are often promoted instead of contraceptives and security education programs. This can lead to the exposure of certain adolescents to an increased risk of sexually transmitted infections, because around 60% of adolescents who promise virginity to marriage engage in pre-mariating sex and are then a third party less likely to use contraceptives than their peers who have received more conventional sex education [Ref [Ref [Ref [Ref [Ref [Ref [Ref [Ref [","Virginity pledges and sexual abstinence education programs are often promoted in lieu of contraceptives and safe-sex education programs. This may entail exposing some teenagers to increased risk of sexually transmitted infections, because about 60 percent of teenagers who pledge virginity until marriage do engage in pre-marital sex and are then one-third less likely to use contraceptives than their peers who have received more conventional sex education [REF",1
We should ban trans fats usage in food,"Former assistant federal minister of health, Christopher Pyne, asked the fast food points to reduce their use of trans fats.","The former federal assistant health minister, Christopher Pyne, asked fast food outlets to reduce their trans fat usage.",1
The free market should be protected,"The existence of the monopoly and the potential of cartels, which would later constitute the heart of the competition law policy, could distort the advantages of free markets to the advantage of companies to the detriment of consumer sovereignty.","The existence of monopoly and the potential for cartels, which would later form the core of competition law policy, could distort the benefits of free markets to the advantage of businesses at the expense of consumer sovereignty.",1
We should abolish capital punishment,Biden opposes capital punishment and supports the pursuit of the war against drugs.,Biden opposes capital punishment and supports the continuation of the war on drugs.,1
We should ban partial birth abortions,The Court has judged abortion a fundamental right under the United States Constitution,The Court deemed abortion a fundamental right under the United States Constitution,1
We should end daylight saving times,Changes in DST rules cause problems in existing IT facilities.,Changes to DST rules cause problems in existing computer installations.,1
We should fight global warming,"The PSR press policies to curb global warming, generate what they consider as a lasting energy future, minimize toxic pollution of air, food and drinking waters and prevent human exposure to toxic substances.","PSR presses for policies to curb global warming, generate what they consider to be a sustainable energy future, minimize toxic pollution of air, food and drinking water, and prevent human exposure to toxic substances.",1
We should raise the retirement age,"Many Japanese companies have increased the retirement age that they had set, partly in response to this legislation. And despite compulsory retirement policies, many Japanese companies allow their employees to continue working beyond the age of 60, although generally reduced wages.","Many Japanese companies raised the retirement age they had set, partly in response to this legislation. And despite mandatory retirement policies, many Japanese companies allow their employees to continue working beyond the age of 60, although generally at reduced wages.",1
We should adopt direct democracy,The only form of democracy considered acceptable for many anarchists is direct democracy.,The only form of democracy considered acceptable to many anarchists is direct democracy.,1
We should further exploit wind power,"Wind power reduces market prices to cash in general via the effect of the merit order; In 2008, this caused a net reduction in the prices of electricity before taxes (balancing the increase in the law on food) [ref].",Wind power output reduces spot market prices in general via the merit order effect; in 2008 this caused a net reduction of pre-tax electricity prices (balancing the increase from the feed-in law) [REF].,1
We should abandon television,"The article indicates that television can help young people discover where they integrate into society, develop closer relationships with peers and their families and teach them to understand the complex social aspects of communication [ref].","The article states that television can help young people discover where they fit into society, develop closer relationships with peers and family, and teach them to understand complex social aspects of communication [REF].",1
We should further exploit unconventional oil,Total crude oil production in Canada is expected to increase an average of 8.6% per year from 2008 to 2011 due to new unconventional petroleum projects [REF].,Total crude oil production in Canada was projected to increase by an average of 8.6 percent per year from 2008 to 2011 as a result of new non-conventional oil projects [REF].,1
their teachings are outdated in comparison with modern Western morals,"Homosexuality is illegal in most Muslim countries, and in many of these countries carry the death penalty. In July 2005, two Iranian men, aged sixteen and eighteen, were publicly hanged for homosexuality, causing an international outcry. Human rights organizations believe that hundreds of people have been executed for homosexuality by the Iranian authorities since the 1979 Revolution [Ref","Homosexuality is illegal in most Muslim countries, and in many of these countries carries the death penalty. In July 2005, two Iranian men, aged sixteen and eighteen, were publicly hanged for homosexuality, causing an international outcry. Human rights organisations estimate that hundreds of people have been executed for homosexuality by Iranian authorities since the 1979 revolution [REF",1
We should abolish intellectual property rights,"If intellectual property is desirable because it encourages innovation, they judge it, it is better.","'If some intellectual property is desirable because it encourages innovation, they reason, more is better.",1
Physical education should be mandatory,"With the development of a new and improved technology with physical education, and in particular suitable physical education, it is important that the teacher of the monkeys knows and understands different ways of implementing technology for increased success for their students.","With the development of new and improved technology with physical education, and especially adapted physical education, it is important for the APE teacher to know and understand different ways to implement technology for increased success for their students.",1
Organ donation should be mandatory,The aim of creating the Trillium Gift of Life network was to increase organ and tissue donation through Ontario and improve the recording process [REF].,The purpose of creating the Trillium Gift of Life Network was to increase organ and tissue donation across Ontario and improve the process of registering [REF].,1
We should ban alcoholic beverages,"From a research point of view, scientists began to differentiate alcohol consumption among the different classes of drinks - wine, beer and spirits. This distinction has enabled studies to highlight the positive medical advantages of wine outside the simple presence of alcohol","From a research perspective, scientists began differentiating alcohol consumption among the various classes of beverages - wine, beer, and spirits. This distinction allowed studies to highlight the positive medical benefits of wine apart from the mere presence of alcohol",1
We should legalize polygamy,"'In the case of polygamy, there is a universal standard - it is understood as a sin, so polygamous are not admitted to leadership stations, including sacred orders, or after acceptance of the Gospel can convert another woman, nor, in certain regions, are they not admitted to Holy Communion.'","'In the case of polygamy, there is a universal standard - it is understood to be a sin, therefore polygamists are not admitted to positions of leadership including Holy Orders, nor after acceptance of the Gospel can a convert take another wife, nor, in some areas, are they admitted to Holy Communion.'",1
We should abandon social media,"Although social media is not as essential to survival as traditional public services such as electricity, water and natural gas, many people think that it has become vital to live in an interconnected world and without it, living a successful life would be difficult [Ref].","While social media is not as essential for survival as traditional public utilities such as electricity, water, and natural gas, many people believe it has become vital for living in an interconnected world and without it, living a successful life would be difficult [REF].",1
We should ban abortions,"Roe established a 'quarter' (i., 12 weeks), a state interest threshold for the life of the fetus corresponding to its growing 'viability' (probability of survival outside the uterus) during a pregnancy, so that the states were prohibited from prohibiting abortion early during pregnancy, but allowed to impose growing restrictions or pure prohibitions.","Roe established a 'trimester' (i. e., 12 week) threshold of state interest in the life of the fetus corresponding to its increasing 'viability' (likelihood of survival outside the uterus) over the course of a pregnancy, such that states were prohibited from banning abortion early in pregnancy but allowed to impose increasing restrictions or outright bans later in pregnancy.",1
We should protect endangered species,"On December 16, 2008, the Center for Biological Diversity announced the intention of continuing the interior department under Kempthorne for having introduced 'regulations.","On December 16, 2008, the Center for Biological Diversity announced intent to sue the Interior Department under Kempthorne for introducing 'regulations.. that would eviscerate our nation's most successful wildlife law by exempting thousands of federal activities, including those that generate greenhouse gases, from review under the Endangered Species Act.'",1
We should legalize public nudity,"In 2012, the San Francisco municipal council proposed a ban on public nudity in the city center.","In 2012, the city council of San Francisco proposed a ban on public nudity in the inner city area.",1
We should ban abortions,"Czech Republic: A CVVM survey of May 2007 revealed that 72% believe that abortion in the Czech Republic should be authorized 'at the request of women', 19% that it should be authorized for 'societal reasons', 5% that this should only be authorized if 'the health of a woman is at risk', 1% that it should be 'prohibited' [Ref '[Ref' [Ref '[Ref' [Ref '","Czech Republic: A May 2007 CVVM poll found that 72% believe abortion in the Czech Republic should be allowed 'at the request of the woman', 19% that it should be allowed for 'societal reasons', 5% that it should be allowed only if 'a woman's health is at risk', 1% that it should be 'banned' [REF",1
We should ban alcoholic beverages,A German study conducted at the end of the 1990s showed that non-pauses had slightly higher infection rates of Helicobacter pylori than moderate wine and beer drinkers [Ref,A German study conducted in the late 1990s showed that non-drinkers had slightly higher infection rates of Helicobacter pylori than moderate wine and beer drinkers [REF,1
